         296499595 function calls (296492157 primitive calls) in 164.738 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       26    0.000    0.000    0.012    0.000 arrayprint.py:1358(array_str)
       26    0.000    0.000    0.012    0.000 arrayprint.py:457(array2string)
       27    0.001    0.000    0.012    0.000 __init__.py:357(namedtuple)
        1    0.000    0.000    0.011    0.011 decorators.py:5(<module>)
       26    0.000    0.000    0.011    0.000 arrayprint.py:415(wrapper)
  609/119    0.003    0.000    0.011    0.000 sre_compile.py:64(_compile)
       26    0.000    0.000    0.011    0.000 arrayprint.py:432(_array2string)
        1    0.000    0.000    0.011    0.011 interval.py:1(<module>)
        1    0.000    0.000    0.011    0.011 decorators.py:15(<module>)
      960    0.010    0.000    0.010    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.010    0.010 utils.py:4(<module>)
        1    0.000    0.000    0.010    0.010 parser.py:5(<module>)
        1    0.000    0.000    0.010    0.010 feedparser.py:20(<module>)
        1    0.000    0.000    0.009    0.009 datetimes.py:2(<module>)
      405    0.001    0.000    0.009    0.000 model_comprehension1.py:210(get_episodic_neighbors)
        1    0.000    0.000    0.009    0.009 pyparsing.py:5377(pyparsing_common)
     3980    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
      421    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
        1    0.000    0.000    0.008    0.008 _policybase.py:4(<module>)
     3077    0.002    0.000    0.008    0.000 enum.py:265(__call__)
        1    0.000    0.000    0.007    0.007 platform.py:10(<module>)
      678    0.007    0.000    0.007    0.000 {method 'findall' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.007    0.007 __init__.py:10(<module>)
        1    0.000    0.000    0.007    0.007 case.py:1(<module>)
      359    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:830(get_data)
     7219    0.007    0.000    0.007    0.000 {built-in method numpy.core.multiarray.matmul}
       28    0.000    0.000    0.006    0.000 pyparsing.py:2757(__init__)
    53933    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
     1722    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
        1    0.000    0.000    0.006    0.006 py3k.py:4(<module>)
       13    0.001    0.000    0.006    0.000 ops.py:49(_create_methods)
       26    0.000    0.000    0.006    0.000 arrayprint.py:363(_get_format_function)
        3    0.000    0.000    0.006    0.002 common.py:1(<module>)
     1758    0.006    0.000    0.006    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.006    0.006 frequencies.py:2(<module>)
        3    0.000    0.000    0.006    0.002 numeric.py:1(<module>)
      716    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
        1    0.000    0.000    0.006    0.006 pathlib.py:1(<module>)
        1    0.000    0.000    0.006    0.006 ssl.py:91(<module>)
        1    0.000    0.000    0.006    0.006 __init__.py:41(<module>)
       26    0.000    0.000    0.006    0.000 arrayprint.py:319(<lambda>)
        1    0.000    0.000    0.005    0.005 reshape.py:3(<module>)
      810    0.001    0.000    0.005    0.000 numeric.py:146(ones)
       26    0.000    0.000    0.005    0.000 arrayprint.py:754(__init__)
     1380    0.002    0.000    0.005    0.000 enum.py:801(__and__)
        2    0.000    0.000    0.005    0.003 utils.py:5(<module>)
       13    0.000    0.000    0.005    0.000 enum.py:602(_convert)
        2    0.000    0.000    0.005    0.003 __init__.py:15(<module>)
       26    0.002    0.000    0.005    0.000 arrayprint.py:780(fillFormat)
      598    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:147(__enter__)
        1    0.000    0.000    0.005    0.005 algorithms.py:4(<module>)
      277    0.000    0.000    0.005    0.000 re.py:184(sub)
       26    0.000    0.000    0.005    0.000 arrayprint.py:639(_formatArray)
   728/26    0.001    0.000    0.005    0.000 arrayprint.py:648(recurser)
        1    0.000    0.000    0.005    0.005 format.py:5(<module>)
        2    0.000    0.000    0.005    0.002 generic.py:7052(_add_series_or_dataframe_operations)
        1    0.000    0.000    0.005    0.005 __init__.py:4(<module>)
      702    0.001    0.000    0.005    0.000 function_base.py:5114(append)
        1    0.000    0.000    0.005    0.005 base.py:1(<module>)
      759    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:403(cached)
        1    0.000    0.000    0.004    0.004 result.py:1(<module>)
     3980    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
        1    0.000    0.000    0.004    0.004 inspect.py:27(<module>)
        4    0.000    0.000    0.004    0.001 _collections_abc.py:824(update)
      756    0.003    0.000    0.004    0.000 {built-in method builtins.sorted}
        3    0.000    0.000    0.004    0.001 __init__.py:792(__init__)
        1    0.000    0.000    0.004    0.004 categorical.py:3(<module>)
        1    0.000    0.000    0.004    0.004 offsets.py:2(<module>)
      401    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
       10    0.000    0.000    0.004    0.000 pyparsing.py:4229(__init__)
        1    0.000    0.000    0.004    0.004 main.py:1(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:888(rc_params)
     1064    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     7231    0.004    0.000    0.004    0.000 {built-in method builtins.hasattr}
      260    0.001    0.000    0.004    0.000 sre_compile.py:223(_compile_charset)
    33/10    0.000    0.000    0.004    0.000 pyparsing.py:3721(leaveWhitespace)
      358    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
        1    0.000    0.000    0.004    0.004 __init__.py:1015(rc_params_from_file)
      584    0.001    0.000    0.004    0.000 __init__.py:795(__setitem__)
        1    0.000    0.000    0.004    0.004 tempfile.py:24(<module>)
       13    0.000    0.000    0.004    0.000 enum.py:364(_create_)
      429    0.000    0.000    0.004    0.000 pyparsing.py:1144(copy)
        6    0.000    0.000    0.004    0.001 ops.py:254(add_flex_arithmetic_methods)
        1    0.000    0.000    0.004    0.004 __init__.py:24(<module>)
        1    0.000    0.000    0.003    0.003 config_init.py:11(<module>)
13590/13588    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.003    0.003 pytables.py:4(<module>)
        1    0.000    0.000    0.003    0.003 index_tricks.py:1(<module>)
       16    0.001    0.000    0.003    0.000 enum.py:124(__new__)
        1    0.000    0.000    0.003    0.003 traceback.py:1(<module>)
      430    0.001    0.000    0.003    0.000 copy.py:66(copy)
        1    0.000    0.000    0.003    0.003 core.py:21(<module>)
        1    0.000    0.000    0.003    0.003 random.py:38(<module>)
        1    0.000    0.000    0.003    0.003 shutil.py:5(<module>)
        3    0.000    0.000    0.003    0.001 pool.py:788(__init__)
        3    0.000    0.000    0.003    0.001 pool.py:153(__init__)
        1    0.000    0.000    0.003    0.003 parsers.py:3(<module>)
        1    0.000    0.000    0.003    0.003 parser.py:29(<module>)
        1    0.000    0.000    0.003    0.003 window.py:7(<module>)
      260    0.002    0.000    0.003    0.000 sre_compile.py:250(_optimize_charset)
    58/10    0.000    0.000    0.003    0.000 pyparsing.py:3266(leaveWhitespace)
     6564    0.003    0.000    0.003    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.003    0.003 cast.py:1(<module>)
        7    0.000    0.000    0.003    0.000 ops.py:176(add_special_arithmetic_methods)
        1    0.000    0.000    0.003    0.003 base.py:3(<module>)
   121/59    0.000    0.000    0.003    0.000 pyparsing.py:3341(copy)
        1    0.000    0.000    0.003    0.003 linecache.py:6(<module>)
      563    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
      466    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
        1    0.000    0.000    0.003    0.003 panel.py:3(<module>)
      615    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
