         296499595 function calls (296492157 primitive calls) in 164.738 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       43    0.000    0.000    0.001    0.000 core.py:144(get_object_signature)
     2830    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      201    0.000    0.000    0.001    0.000 abc.py:180(__instancecheck__)
        3    0.000    0.000    0.001    0.000 pool.py:783(Process)
        1    0.000    0.000    0.001    0.001 window.py:1073(Rolling)
        1    0.000    0.000    0.001    0.001 argparse.py:62(<module>)
      234    0.001    0.000    0.001    0.000 pyparsing.py:1121(__init__)
       27    0.000    0.000    0.001    0.000 offsets.py:53(apply_wraps)
     34/5    0.000    0.000    0.001    0.000 pyparsing.py:3297(streamline)
        1    0.000    0.000    0.001    0.001 version.py:93(StrictVersion)
        1    0.000    0.000    0.001    0.001 stata.py:11(<module>)
      660    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
        1    0.000    0.000    0.001    0.001 multi.py:3(<module>)
        1    0.000    0.000    0.001    0.001 strings.py:1361(StringMethods)
        1    0.000    0.000    0.001    0.001 window.py:1338(Expanding)
        1    0.000    0.000    0.001    0.001 six.py:21(<module>)
       10    0.000    0.000    0.001    0.000 enum.py:758(_missing_)
      336    0.000    0.000    0.001    0.000 enum.py:351(__setattr__)
        1    0.000    0.000    0.001    0.001 numbers.py:6(<module>)
       26    0.000    0.000    0.001    0.000 core.py:6542(__init__)
      378    0.001    0.000    0.001    0.000 {built-in method numpy.core.multiarray.dragon4_scientific}
       10    0.000    0.000    0.001    0.000 enum.py:765(_create_pseudo_member_)
        1    0.000    0.000    0.001    0.001 __init__.py:937(_rc_params_in_file)
        1    0.000    0.000    0.001    0.001 series.py:90(SparseSeries)
     1566    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.001    0.001 category.py:1(<module>)
        3    0.000    0.000    0.001    0.000 __init__.py:43(start)
     3880    0.001    0.000    0.001    0.000 model_comprehension1.py:127(<lambda>)
        1    0.000    0.000    0.001    0.001 lazy.py:1(<module>)
       26    0.000    0.000    0.001    0.000 core.py:6547(getdoc)
      156    0.001    0.000    0.001    0.000 functools.py:74(wraps)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:7(<module>)
        2    0.000    0.000    0.001    0.000 util.py:1(<module>)
      537    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:707(find_spec)
      553    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
        1    0.000    0.000    0.001    0.001 printing.py:3(<module>)
       58    0.000    0.000    0.001    0.000 sre_compile.py:376(_mk_bitmap)
        2    0.000    0.000    0.000    0.000 rcsetup.py:793(validate_cycler)
        1    0.000    0.000    0.000    0.000 lzma.py:9(<module>)
      196    0.000    0.000    0.000    0.000 arrayprint.py:808(<genexpr>)
        2    0.000    0.000    0.000    0.000 function_base.py:1(<module>)
       51    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1196(__init__)
     1069    0.000    0.000    0.000    0.000 sre_parse.py:171(append)
      724    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 model_comprehension1.py:379(create_theme_vectors)
       10    0.000    0.000    0.000    0.000 enum.py:837(_decompose)
        1    0.000    0.000    0.000    0.000 csv.py:4(<module>)
     3339    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.000    0.000 internals.py:1939(TimeDeltaBlock)
      517    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:780(find_spec)
      358    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:393(_check_name_wrapper)
        1    0.000    0.000    0.000    0.000 pickle.py:181(<listcomp>)
     23/7    0.000    0.000    0.000    0.000 pyparsing.py:3740(streamline)
       66    0.000    0.000    0.000    0.000 pyparsing.py:3697(__init__)
       58    0.000    0.000    0.000    0.000 colors.py:119(to_rgba)
       56    0.000    0.000    0.000    0.000 rcsetup.py:95(<listcomp>)
     3339    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.000    0.000 ipaddress.py:2266(_IPv6Constants)
      735    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3(<module>)
       58    0.000    0.000    0.000    0.000 numeric.py:2460(seterr)
       13    0.000    0.000    0.000    0.000 ops.py:153(add_methods)
        1    0.000    0.000    0.000    0.000 offsets.py:2643(Easter)
        1    0.000    0.000    0.000    0.000 nanops.py:1(<module>)
        1    0.000    0.000    0.000    0.000 charset.py:6(<module>)
       28    0.000    0.000    0.000    0.000 ipaddress.py:2160(__init__)
       53    0.000    0.000    0.000    0.000 core.py:885(__init__)
        1    0.000    0.000    0.000    0.000 arrayprint.py:5(<module>)
      405    0.000    0.000    0.000    0.000 model_comprehension1.py:94(<listcomp>)
      876    0.000    0.000    0.000    0.000 sre_parse.py:285(tell)
      429    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
      238    0.000    0.000    0.000    0.000 sre_compile.py:388(_simple)
        1    0.000    0.000    0.000    0.000 errors.py:5(<module>)
        1    0.000    0.000    0.000    0.000 category.py:31(CategoricalIndex)
        1    0.000    0.000    0.000    0.000 encoder.py:2(<module>)
        1    0.000    0.000    0.000    0.000 generic.py:1(<module>)
        1    0.000    0.000    0.000    0.000 multi.py:53(MultiIndex)
        1    0.000    0.000    0.000    0.000 _core.py:1501(BoxPlot)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
        1    0.000    0.000    0.000    0.000 accessors.py:3(<module>)
       12    0.000    0.000    0.000    0.000 pyparsing.py:3981(parseImpl)
        1    0.000    0.000    0.000    0.000 period.py:2(<module>)
      358    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       16    0.000    0.000    0.000    0.000 generic.py:7340(_make_cum_function)
      225    0.000    0.000    0.000    0.000 enum.py:20(_is_descriptor)
     1735    0.000    0.000    0.000    0.000 model_comprehension1.py:56(<lambda>)
       27    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 ipaddress.py:1559(_IPv4Constants)
       29    0.000    0.000    0.000    0.000 numeric.py:2857(__enter__)
      128    0.000    0.000    0.000    0.000 colors.py:98(_is_nth_color)
     2174    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      196    0.000    0.000    0.000    0.000 arrayprint.py:805(<genexpr>)
      191    0.000    0.000    0.000    0.000 _decorators.py:187(__call__)
       20    0.000    0.000    0.000    0.000 rcsetup.py:348(validate_color_for_prop_cycle)
       20    0.000    0.000    0.000    0.000 generic.py:6(create_pandas_abc_type)
      122    0.000    0.000    0.000    0.000 sre_parse.py:223(__init__)
       12    0.000    0.000    0.000    0.000 generic.py:7320(_make_stat_function_ddof)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1460(__init__)
        1    0.000    0.000    0.000    0.000 moments.py:4(<module>)
        3    0.000    0.000    0.000    0.000 expr.py:216(disallowed)
        1    0.000    0.000    0.000    0.000 pivot.py:4(<module>)
        1    0.000    0.000    0.000    0.000 interval.py:101(IntervalIndex)
        1    0.000    0.000    0.000    0.000 timedeltas.py:1(<module>)
        1    0.000    0.000    0.000    0.000 window.py:1588(EWM)
        1    0.000    0.000    0.000    0.000 nosetester.py:5(<module>)
     1682    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
       14    0.000    0.000    0.000    0.000 expr.py:150(_filter_nodes)
        6    0.000    0.000    0.000    0.000 getlimits.py:65(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
       38    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
      893    0.000    0.000    0.000    0.000 sre_parse.py:159(__len__)
      421    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
        1    0.000    0.000    0.000    0.000 __init__.py:11(<module>)
       36    0.000    0.000    0.000    0.000 abc.py:135(<setcomp>)
      126    0.000    0.000    0.000    0.000 expr.py:152(<genexpr>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:302(_add_aliases)
     2234    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       14    0.000    0.000    0.000    0.000 hashlib.py:116(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 error.py:12(<module>)
       14    0.000    0.000    0.000    0.000 colors.py:142(_to_rgba_no_colorcycle)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:497(_code_to_bytecode)
     1235    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       85    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
      389    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      347    0.000    0.000    0.000    0.000 model_comprehension1.py:43(<listcomp>)
        9    0.000    0.000    0.000    0.000 enum.py:855(<listcomp>)
      183    0.000    0.000    0.000    0.000 sre_parse.py:342(_escape)
      360    0.000    0.000    0.000    0.000 model_comprehension1.py:223(<listcomp>)
       27    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 reduction.py:10(<module>)
        1    0.000    0.000    0.000    0.000 dtypes.py:354(DatetimeTZDtype)
      403    0.000    0.000    0.000    0.000 __init__.py:212(bind_method)
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
      150    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
      822    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 html.py:4(<module>)
       84    0.000    0.000    0.000    0.000 pyparsing.py:2346(__init__)
        9    0.000    0.000    0.000    0.000 accessor.py:82(_add_delegate_accessors)
       52    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:99(_path_isdir)
      129    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
       17    0.000    0.000    0.000    0.000 pyparsing.py:1926(__or__)
       58    0.000    0.000    0.000    0.000 sre_compile.py:378(<listcomp>)
        1    0.000    0.000    0.000    0.000 {built-in method marshal.dumps}
     1164    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      613    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
        1    0.000    0.000    0.000    0.000 encoders.py:5(<module>)
        8    0.000    0.000    0.000    0.000 generic.py:7375(_make_logical_function)
        1    0.000    0.000    0.000    0.000 base64mime.py:25(<module>)
      172    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      421    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
        1    0.000    0.000    0.000    0.000 period.py:126(PeriodIndex)
        1    0.000    0.000    0.000    0.000 pickle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 errors.py:9(<module>)
       26    0.000    0.000    0.000    0.000 arrayprint.py:67(_make_options_dict)
        1    0.000    0.000    0.000    0.000 numerictypes.py:954(_register_types)
        1    0.000    0.000    0.000    0.000 rrule.py:7(<module>)
      616    0.000    0.000    0.000    0.000 _decorators.py:233(__init__)
        8    0.000    0.000    0.000    0.000 hashlib.py:73(__get_builtin_constructor)
       10    0.000    0.000    0.000    0.000 pyparsing.py:3917(parseImpl)
        1    0.000    0.000    0.000    0.000 hashing.py:3(<module>)
       27    0.000    0.000    0.000    0.000 pyparsing.py:4208(__init__)
        1    0.000    0.000    0.000    0.000 tzfile.py:4(<module>)
       19    0.000    0.000    0.000    0.000 nosetester.py:554(_numpy_tester)
        1    0.000    0.000    0.000    0.000 __init__.py:2(<module>)
       51    0.000    0.000    0.000    0.000 _internal.py:711(_ufunc_doc_signature_formatter)
      423    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.000    0.000 merge.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:5(HTTPStatus)
        1    0.000    0.000    0.000    0.000 dates.py:513(DateFormatter)
        1    0.000    0.000    0.000    0.000 range.py:1(<module>)
       17    0.000    0.000    0.000    0.000 pyparsing.py:3518(__init__)
        4    0.000    0.000    0.000    0.000 numeric.py:2882(extend_all)
        1    0.000    0.000    0.000    0.000 _color_data.py:1(<module>)
        1    0.000    0.000    0.000    0.000 glob.py:1(<module>)
        1    0.000    0.000    0.000    0.000 version.py:267(LooseVersion)
      517    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      370    0.000    0.000    0.000    0.000 ops.py:64(names)
        1    0.000    0.000    0.000    0.000 _decorators.py:1(<module>)
        1    0.000    0.000    0.000    0.000 window.py:357(Window)
       43    0.000    0.000    0.000    0.000 _inspect.py:98(getargspec)
      429    0.000    0.000    0.000    0.000 copyreg.py:87(__newobj__)
       26    0.000    0.000    0.000    0.000 fromnumeric.py:943(argmax)
       11    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
      598    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      858    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        8    0.000    0.000    0.000    0.000 generic.py:7277(_make_min_count_stat_function)
        1    0.000    0.000    0.000    0.000 align.py:2(<module>)
       13    0.000    0.000    0.000    0.000 threading.py:757(__init__)
       22    0.000    0.000    0.000    0.000 linecache.py:53(checkcache)
        1    0.000    0.000    0.000    0.000 sql.py:5(<module>)
     1045    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       12    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
    34/26    0.000    0.000    0.000    0.000 pyparsing.py:3412(__str__)
        1    0.000    0.000    0.000    0.000 timedeltas.py:103(TimedeltaIndex)
        1    0.000    0.000    0.000    0.000 ops.py:2(<module>)
        6    0.000    0.000    0.000    0.000 pyparsing.py:1181(setResultsName)
        1    0.000    0.000    0.000    0.000 _style.py:3(<module>)
        2    0.000    0.000    0.000    0.000 lazy.py:80(__new__)
        1    0.000    0.000    0.000    0.000 series.py:155(__init__)
      337    0.000    0.000    0.000    0.000 ops.py:149(<genexpr>)
       27    0.000    0.000    0.000    0.000 core.py:912(__init__)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        3    0.000    0.000    0.000    0.000 pyparsing.py:1855(__mul__)
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
       22    0.000    0.000    0.000    0.000 _decorators.py:86(_deprecate_kwarg)
      500    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
       36    0.000    0.000    0.000    0.000 pyparsing.py:2390(__init__)
       27    0.000    0.000    0.000    0.000 deprecation.py:197(finalize)
       19    0.000    0.000    0.000    0.000 nosetester.py:157(__init__)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
        1    0.000    0.000    0.000    0.000 datetimes.py:165(DatetimeIndex)
        4    0.000    0.000    0.000    0.000 base.py:4055(_add_logical_methods)
       18    0.000    0.000    0.000    0.000 core.py:988(__init__)
      157    0.000    0.000    0.000    0.000 pyparsing.py:340(__new__)
        1    0.000    0.000    0.000    0.000 relativedelta.py:2(<module>)
       62    0.000    0.000    0.000    0.000 codecs.py:318(decode)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
       33    0.000    0.000    0.000    0.000 pyparsing.py:2791(parseImpl)
        1    0.000    0.000    0.000    0.000 __init__.py:694(matplotlib_fname)
        1    0.000    0.000    0.000    0.000 indexing.py:2(<module>)
        8    0.000    0.000    0.000    0.000 base.py:4072(_make_logical_function)
   139/99    0.000    0.000    0.000    0.000 sre_compile.py:414(_get_literal_prefix)
      119    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       19    0.000    0.000    0.000    0.000 contextlib.py:129(contextmanager)
      358    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:800(__init__)
       16    0.000    0.000    0.000    0.000 enum.py:114(__prepare__)
      144    0.000    0.000    0.000    0.000 __init__.py:422(<genexpr>)
        2    0.000    0.000    0.000    0.000 textwrap.py:381(fill)
        1    0.000    0.000    0.000    0.000 base.py:686(IndexOpsMixin)
      112    0.000    0.000    0.000    0.000 sre_parse.py:294(_class_escape)
       45    0.000    0.000    0.000    0.000 enum.py:417(_get_mixins_)
     12/2    0.000    0.000    0.000    0.000 pyparsing.py:1904(makeOptionalList)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
        1    0.000    0.000    0.000    0.000 numeric.py:274(Float64Index)
       40    0.000    0.000    0.000    0.000 groupby.py:2991(_whitelist_method_generator)
       28    0.000    0.000    0.000    0.000 _bootlocale.py:23(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:6(<module>)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:861(_find_spec_legacy)
      462    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 stata.py:709(StataMissingValue)
       30    0.000    0.000    0.000    0.000 getlimits.py:70(<lambda>)
        1    0.000    0.000    0.000    0.000 groupby.py:1223(_add_numeric_operations)
        9    0.000    0.000    0.000    0.000 datetime.py:355(__new__)
        1    0.000    0.000    0.000    0.000 dtypes.py:586(IntervalDtype)
       81    0.000    0.000    0.000    0.000 sre_compile.py:441(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 pathlib.py:382(_NormalAccessor)
       25    0.000    0.000    0.000    0.000 pyparsing.py:3975(__init__)
  157/155    0.000    0.000    0.000    0.000 pyparsing.py:349(__init__)
      273    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.add_docstring}
        1    0.000    0.000    0.000    0.000 dtypes.py:468(PeriodDtype)
        2    0.000    0.000    0.000    0.000 textwrap.py:356(fill)
        1    0.000    0.000    0.000    0.000 hermite_e.py:59(<module>)
        1    0.000    0.000    0.000    0.000 message.py:105(Message)
        6    0.000    0.000    0.000    0.000 groupby.py:1227(groupby_function)
       26    0.000    0.000    0.000    0.000 fromnumeric.py:50(_wrapfunc)
        4    0.000    0.000    0.000    0.000 __init__.py:724(gen_candidates)
       18    0.000    0.000    0.000    0.000 ops.py:1384(_comp_method_PANEL)
     1479    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        2    0.000    0.000    0.000    0.000 textwrap.py:342(wrap)
        1    0.000    0.000    0.000    0.000 window.py:817(_Rolling_and_Expanding)
        1    0.000    0.000    0.000    0.000 _color_data.py:995(<dictcomp>)
        4    0.000    0.000    0.000    0.000 rcsetup.py:335(validate_color_or_inherit)
       28    0.000    0.000    0.000    0.000 pyparsing.py:1046(wrapper)
        1    0.000    0.000    0.000    0.000 console.py:3(<module>)
       26    0.000    0.000    0.000    0.000 arrayprint.py:310(_get_formatdict)
       61    0.000    0.000    0.000    0.000 pyparsing.py:2804(__str__)
      347    0.000    0.000    0.000    0.000 model_comprehension1.py:42(<listcomp>)
     1541    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
       26    0.000    0.000    0.000    0.000 numerictypes.py:230(bitname)
        1    0.000    0.000    0.000    0.000 pytables.py:4295(AppendableMultiFrameTable)
        1    0.000    0.000    0.000    0.000 util.py:10(<module>)
        2    0.000    0.000    0.000    0.000 lazy.py:135(__new__)
       58    0.000    0.000    0.000    0.000 numeric.py:2560(geterr)
        1    0.000    0.000    0.000    0.000 groupby.py:483(_GroupBy)
      353    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
       16    0.000    0.000    0.000    0.000 enum.py:462(_find_new_)
      352    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
       31    0.000    0.000    0.000    0.000 sre_parse.py:266(getuntil)
      346    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
      350    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
      105    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      351    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
      431    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 gzip.py:4(<module>)
       29    0.000    0.000    0.000    0.000 numeric.py:2862(__exit__)
       22    0.000    0.000    0.000    0.000 version.py:302(__init__)
      177    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       86    0.000    0.000    0.000    0.000 pyparsing.py:3417(<genexpr>)
        2    0.000    0.000    0.000    0.000 pyparsing.py:4428(delimitedList)
      596    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       54    0.000    0.000    0.000    0.000 accessor.py:98(_create_delegator_property)
      238    0.000    0.000    0.000    0.000 sre_compile.py:539(isstring)
       23    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 categorical.py:153(Categorical)
        9    0.000    0.000    0.000    0.000 extras.py:238(__init__)
      215    0.000    0.000    0.000    0.000 types.py:135(__get__)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:927(exec_module)
       10    0.000    0.000    0.000    0.000 pathlib.py:384(_wrap_strfunc)
       22    0.000    0.000    0.000    0.000 version.py:307(parse)
       14    0.000    0.000    0.000    0.000 threading.py:251(_acquire_restore)
        5    0.000    0.000    0.000    0.000 base.py:3881(_add_numeric_methods_disabled)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2743(Regex)
       20    0.000    0.000    0.000    0.000 ipaddress.py:1099(_ip_int_from_string)
        3    0.000    0.000    0.000    0.000 tokenize.py:137(_all_string_prefixes)
        1    0.000    0.000    0.000    0.000 parser.py:48(_timelex)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1631(_ip_int_from_string)
       43    0.000    0.000    0.000    0.000 threading.py:215(__init__)
       26    0.000    0.000    0.000    0.000 fromnumeric.py:2323(amin)
       38    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
        1    0.000    0.000    0.000    0.000 process.py:10(<module>)
        9    0.000    0.000    0.000    0.000 extras.py:242(getdoc)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
      144    0.000    0.000    0.000    0.000 __init__.py:420(<genexpr>)
       24    0.000    0.000    0.000    0.000 posixpath.py:154(dirname)
        1    0.000    0.000    0.000    0.000 plotting.py:1(<module>)
        9    0.000    0.000    0.000    0.000 moments.py:457(_rolling_func)
       28    0.000    0.000    0.000    0.000 {built-in method _locale.nl_langinfo}
      568    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 tzinfo.py:1(<module>)
       16    0.000    0.000    0.000    0.000 enum.py:160(<setcomp>)
       62    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
      137    0.000    0.000    0.000    0.000 rcsetup.py:124(validate_bool)
        1    0.000    0.000    0.000    0.000 core.py:6256(__new__)
        1    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 polyutils.py:45(<module>)
      532    0.000    0.000    0.000    0.000 arrayprint.py:838(<genexpr>)
      265    0.000    0.000    0.000    0.000 enum.py:28(_is_dunder)
       25    0.000    0.000    0.000    0.000 rcsetup.py:52(__init__)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
      119    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        1    0.000    0.000    0.000    0.000 ops.py:5(<module>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:27(<module>)
       45    0.000    0.000    0.000    0.000 re.py:249(escape)
        2    0.000    0.000    0.000    0.000 _decorators.py:124(decorate)
        1    0.000    0.000    0.000    0.000 stata.py:948(StataReader)
        4    0.000    0.000    0.000    0.000 generic.py:218(_setup_axes)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
      532    0.000    0.000    0.000    0.000 arrayprint.py:839(<genexpr>)
       26    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        1    0.000    0.000    0.000    0.000 numerictypes.py:286(_add_types)
        1    0.000    0.000    0.000    0.000 range.py:24(RangeIndex)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1102(_legacy_get_spec)
        1    0.000    0.000    0.000    0.000 array.py:164(SparseArray)
        1    0.000    0.000    0.000    0.000 function.py:19(<module>)
      748    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:41(_relax_case)
       24    0.000    0.000    0.000    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:583(_get_configdir)
        1    0.000    0.000    0.000    0.000 numerictypes.py:121(<listcomp>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:88(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        9    0.000    0.000    0.000    0.000 queue.py:27(__init__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3331(setResultsName)
        1    0.000    0.000    0.000    0.000 path.py:13(<module>)
      137    0.000    0.000    0.000    0.000 expr.py:145(<lambda>)
       40    0.000    0.000    0.000    0.000 base.py:3885(_make_invalid_op)
        3    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
       17    0.000    0.000    0.000    0.000 pyparsing.py:3554(__str__)
        1    0.000    0.000    0.000    0.000 arrayprint.py:412(decorating_function)
        1    0.000    0.000    0.000    0.000 __init__.py:772(RcParams)
        8    0.000    0.000    0.000    0.000 core.py:8024(__init__)
        1    0.000    0.000    0.000    0.000 win.py:2(<module>)
        1    0.000    0.000    0.000    0.000 exceptions.py:3(<module>)
       75    0.000    0.000    0.000    0.000 __init__.py:288(set_function_name)
      265    0.000    0.000    0.000    0.000 enum.py:36(_is_sunder)
       84    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
        1    0.000    0.000    0.000    0.000 frame.py:36(SparseDataFrame)
        1    0.000    0.000    0.000    0.000 pyparsing.py:1080(ParserElement)
        1    0.000    0.000    0.000    0.000 hermite.py:59(<module>)
        1    0.000    0.000    0.000    0.000 laguerre.py:59(<module>)
      115    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.000    0.000 transforms.py:744(Bbox)
        1    0.000    0.000    0.000    0.000 offsets.py:2692(Tick)
        1    0.000    0.000    0.000    0.000 sorting.py:1(<module>)
        1    0.000    0.000    0.000    0.000 legendre.py:83(<module>)
      742    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 list.py:1(<module>)
        5    0.000    0.000    0.000    0.000 base.py:4050(_add_numeric_methods)
       26    0.000    0.000    0.000    0.000 {method 'argmax' of 'numpy.ndarray' objects}
      350    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 os.py:40(_get_exports_list)
       28    0.000    0.000    0.000    0.000 pyparsing.py:2720(__str__)
        1    0.000    0.000    0.000    0.000 defmatrix.py:174(matrix)
       57    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
       36    0.000    0.000    0.000    0.000 getlimits.py:69(<lambda>)
        1    0.000    0.000    0.000    0.000 mixins.py:63(NDArrayOperatorsMixin)
       32    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 tokenize.py:448(open)
       25    0.000    0.000    0.000    0.000 rcsetup.py:62(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
       16    0.000    0.000    0.000    0.000 threading.py:498(__init__)
       38    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
        1    0.000    0.000    0.000    0.000 colors.py:80(<dictcomp>)
        1    0.000    0.000    0.000    0.000 datetimelike.py:125(DatetimeIndexOpsMixin)
